Leventhal 128ch EIB electrode tested on 1/14/2015 at 10:34:25 AM
45% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	uA;(hh:mm:ss)	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	1.113	-69.3	00:00:45	0.256	-71.6	
2	2.215	-72.0	00:00:20	0.237	-70.3	
3	2.429	-82.7	00:00:25	0.366	-70.6	
4	1.836	-67.7	00:00:20	0.242	-70.4	
5	1.153	-82.7	00:00:15	0.250	-75.3	
6	3.447	-85.4	00:00:25	0.271	-71.6	
7	2.048	-78.7	00:00:25	0.396	-71.4	
8	0.854	-75.5	00:00:20	0.230	-70.1	
9	4.585	-89.8	00:00:25	4.595	-89.4	
10	4.906	-90.6	00:00:25	4.877	-90.0	
11	4.686	-89.9	00:00:25	4.755	-89.5	
12	4.511	-89.6	00:00:25	4.537	-90.2	
13	5.037	-90.8	00:00:25	5.014	-89.9	
14	4.899	-90.2	00:00:25	4.911	-90.2	
15	4.218	-89.7	00:00:25	4.228	-89.4	
16	4.568	-89.4	00:00:25	4.585	-89.4	
17	5.170	-90.3	00:00:25	5.186	-90.2	
18	4.618	-89.6	00:00:25	4.622	-89.6	
19	5.285	-90.5	00:00:25	5.384	-90.6	
20	4.843	-89.4	00:00:25	4.828	-90.3	
21	5.321	-90.4	00:00:25	5.246	-90.0	
22	5.714	-89.8	00:00:25	5.745	-90.3	
23	5.528	-90.2	00:00:25	5.523	-90.6	
24	5.609	-90.5	00:00:25	5.644	-89.9	
25	0.945	-77.7	00:00:25	0.261	-71.1	
26	0.819	-79.7	00:00:15	0.221	-75.5	
27	1.092	-68.5	00:00:20	0.223	-68.8	
28	0.887	-80.8	00:00:15	0.233	-74.8	
29	1.799	-75.1	00:00:25	0.226	-71.9	
30	1.801	-79.1	00:00:25	0.258	-70.2	
31	3.025	-80.5	00:00:25	0.394	-69.9	
32	3.283	-81.1	00:00:25	0.289	-71.2	
33	1.796	-71.8	00:00:25	0.243	-69.8	
34	0.729	-80.9	00:00:15	0.227	-74.8	
35	0.742	-77.6	00:00:15	0.242	-73.8	
36	1.427	-75.4	00:00:25	0.239	-70.3	
37	1.427	-74.5	00:00:20	0.212	-71.4	
38	1.546	-77.0	00:00:25	0.241	-70.9	
39	3.482	-81.5	00:00:25	0.338	-73.0	
40	2.054	-72.4	00:00:25	0.261	-70.3	
41	7.005	-89.3	00:00:25	7.012	-88.8	
42	7.211	-88.9	00:00:25	7.158	-89.5	
43	7.107	-89.2	00:00:25	7.151	-89.5	
44	6.414	-89.5	00:00:25	6.383	-90.0	
45	7.137	-89.7	00:00:25	7.063	-90.4	
46	6.454	-89.8	00:00:25	6.518	-89.7	
47	7.070	-91.1	00:00:25	7.178	-90.7	
48	6.867	-90.9	00:00:25	6.975	-90.5	
49	6.926	-90.5	00:00:25	6.876	-90.3	
50	6.765	-90.4	00:00:25	6.719	-90.1	
51	7.094	-89.7	00:00:25	7.105	-90.1	
52	6.712	-90.1	00:00:25	6.717	-90.3	
53	6.930	-90.4	00:00:25	6.962	-90.3	
54	6.609	-90.9	00:00:25	6.642	-89.4	
55	7.035	-90.6	00:00:25	7.076	-90.4	
56	6.437	-89.4	00:00:25	6.457	-90.4	
57	2.763	-66.5	00:00:25	0.326	-65.6	
58	0.871	-71.8	00:00:20	0.219	-71.7	
59	4.409	-84.3	00:00:25	0.267	-70.0	
60	7.261	-89.3	00:00:25	7.179	-90.4	
61	1.143	-75.3	00:00:25	0.226	-71.6	
62	6.819	-91.3	00:00:25	6.881	-90.1	
63	0.827	-71.5	00:00:15	0.249	-72.4	
64	6.754	-89.6	00:00:25	6.678	-90.1	
Average	1.200±0.397	-75.4±4.4		0.264±0.051	-71.4±2.1	
