Leventhal 128ch EIB electrode tested on 1/14/2015 at 9:50:58 AM
48% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	uA;(hh:mm:ss)	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	4.520	-88.4	00:00:25	4.490	-88.7	
2	2.771	-71.8	00:00:25	0.367	-63.6	
3	4.693	-89.4	00:00:25	4.645	-88.8	
4	4.681	-89.9	00:00:25	4.675	-89.0	
5	4.613	-89.6	00:00:25	4.630	-89.2	
6	4.693	-89.4	00:00:25	4.694	-89.1	
7	4.687	-89.2	00:00:25	4.692	-88.9	
8	4.491	-89.4	00:00:25	4.475	-88.7	
9	2.546	-75.8	00:00:25	0.273	-67.5	
10	4.552	-89.3	00:00:25	4.545	-89.2	
11	1.227	-69.0	00:00:20	0.234	-68.1	
12	1.784	-81.6	00:00:25	0.333	-71.3	
13	2.239	-70.2	00:00:25	0.316	-67.7	
14	1.515	-79.3	00:00:25	0.308	-74.6	
15	4.040	-89.8	00:00:25	4.020	-89.8	
16	1.264	-82.6	00:00:25	0.420	-74.6	
17	1.296	-83.4	00:00:25	0.224	-70.4	
18	1.107	-81.4	00:00:20	0.229	-72.3	
19	1.575	-78.8	00:00:25	0.308	-72.8	
20	2.495	-79.9	00:00:25	0.477	-72.5	
21	1.126	-78.6	00:00:25	0.231	-72.7	
22	0.710	-80.5	00:00:10	0.201	-76.8	
23	2.882	-84.7	00:00:25	0.313	-71.2	
24	5.693	-90.2	00:00:25	5.571	-89.7	
25	5.398	-89.8	00:00:25	5.490	-89.5	
26	5.267	-90.0	00:00:25	5.323	-89.9	
27	5.734	-90.5	00:00:25	5.760	-89.7	
28	5.383	-90.1	00:00:25	5.327	-90.0	
29	5.468	-89.5	00:00:25	5.549	-89.4	
30	5.623	-90.0	00:00:25	5.568	-89.6	
31	5.982	-89.9	00:00:25	5.909	-89.4	
32	1.195	-76.7	00:00:25	0.264	-70.8	
33	2.601	-78.7	00:00:25	0.276	-71.3	
34	5.838	-89.3	00:00:25	5.833	-89.1	
35	1.594	-70.7	00:00:25	0.233	-70.0	
36	1.382	-75.0	00:00:25	0.246	-69.9	
37	2.633	-66.5	00:00:25	0.237	-69.0	
38	1.522	-74.7	00:00:25	0.274	-68.6	
39	2.232	-68.8	00:00:25	0.249	-67.2	
40	3.073	-68.3	00:00:25	0.681	-54.5	
41	6.461	-88.5	00:00:25	6.377	-89.2	
42	1.342	-76.1	00:00:25	0.243	-71.9	
43	6.411	-90.0	00:00:25	6.276	-89.6	
44	6.160	-90.3	00:00:25	6.106	-88.5	
45	6.946	-88.9	00:00:25	6.908	-90.1	
46	6.410	-89.4	00:00:25	6.311	-90.1	
47	6.690	-90.4	00:00:25	6.654	-90.2	
48	6.723	-90.3	00:00:25	6.718	-90.0	
49	0.787	-76.2	00:00:20	0.235	-71.8	
50	1.150	-79.3	00:00:25	0.294	-70.0	
51	4.828	-88.2	00:00:25	0.351	-71.2	
52	0.857	-82.4	00:00:20	0.229	-71.1	
53	0.766	-79.5	00:00:20	0.237	-74.0	
54	1.489	-80.7	00:00:25	0.347	-70.5	
55	1.445	-83.2	00:00:25	0.300	-73.1	
56	6.285	-90.5	00:00:25	6.186	-90.4	
57	6.364	-89.8	00:00:25	6.322	-89.6	
58	6.630	-90.3	00:00:25	6.633	-90.5	
59	6.654	-90.5	00:00:25	6.713	-90.1	
60	6.290	-89.8	00:00:25	6.309	-90.0	
61	6.642	-91.3	00:00:25	6.672	-90.5	
62	6.432	-90.8	00:00:25	6.431	-90.2	
63	6.476	-90.3	00:00:25	6.495	-89.8	
64	0.899	-81.5	00:00:20	0.231	-73.8	
Average	1.240±0.303	-78.6±3.9		0.296±0.095	-70.5±4.0	
